step | action_id | action_name                      | changed | reward   | cost     | gates | depth | cx
--------------------------------------------------------------------------------------------------------
   1 |         3 | merge_adjacent_rz                | True    |    1.100 |   48.250 |    71 |    28 |  8
   2 |         3 | merge_adjacent_rz                | True    |    1.670 |   46.550 |    69 |    26 |  8
   3 |         3 | merge_adjacent_rz                | True    |    1.070 |   45.450 |    67 |    26 |  8
   4 |         3 | merge_adjacent_rz                | True    |    1.670 |   43.750 |    65 |    24 |  8
   5 |         3 | merge_adjacent_rz                | True    |    1.070 |   42.650 |    63 |    24 |  8
   6 |         3 | merge_adjacent_rz                | True    |    0.820 |   41.800 |    62 |    23 |  8
   7 |         3 | merge_adjacent_rz                | False   |   -0.430 |   41.800 |    62 |    23 |  8
   8 |         3 | merge_adjacent_rz                | False   |   -0.430 |   41.800 |    62 |    23 |  8
   9 |         3 | merge_adjacent_rz                | False   |   -0.430 |   41.800 |    62 |    23 |  8
  10 |         3 | merge_adjacent_rz                | False   |   -0.430 |   41.800 |    62 |    23 |  8
  11 |         3 | merge_adjacent_rz                | False   |   -0.430 |   41.800 |    62 |    23 |  8
  12 |         3 | merge_adjacent_rz                | False   |   -0.430 |   41.800 |    62 |    23 |  8
  13 |         3 | merge_adjacent_rz                | False   |   -0.430 |   41.800 |    62 |    23 |  8
  14 |         3 | merge_adjacent_rz                | False   |   -0.430 |   41.800 |    62 |    23 |  8
